204 WAVERLY PLACE,MANHATTAN,02 MANHATTAN,Precinct 6,03,1006110022,05/03/2017,Open,Site downloaded for cleaning,,983833,207002
116 WEST  116 STREET,MANHATTAN,10 MANHATTAN,Precinct 28,09,1018250043,03/28/2017,Open,Site downloaded for cleaning,,997925,231618
136 ORCHARD STREET,MANHATTAN,03 MANHATTAN,Precinct 7,01,1004100009,03/28/2017,Open,Site downloaded for cleaning,,987223,201579
1755 LEXINGTON AVENUE,MANHATTAN,11 MANHATTAN,Precinct 23,08,1016360050,04/09/2017,Open,Site downloaded for cleaning,,999501,228588
58 IRVING AVENUE,BROOKLYN,04 BROOKLYN,Precinct 83,34,3031870034,04/03/2017,Open,Site downloaded for cleaning,,1005302,195962
212-04 HILLSIDE AVENUE,QUEENS,13 QUEENS,Precinct 105,23,4106690088,03/08/2017,Open,Site downloaded for cleaning,,1052461,203435
107-63 SUTPHIN BOULEVARD,QUEENS,12 QUEENS,Precinct 103,28,4101320021,02/24/2017,Open,Site downloaded for cleaning,,1039886,191820
935 EAST  163 STREET,BRONX,02 BRONX,Precinct 41,17,2027030025,02/08/2017,Open,Site downloaded for cleaning,,1012855,238409
8014 3 AVENUE,BROOKLYN,10 BROOKLYN,Precinct 68,43,3059870045,02/25/2017,Open,Site downloaded for cleaning,,976100,167949
5914 8 AVENUE,BROOKLYN,07 BROOKLYN,Precinct 72,38,3008660045,02/08/2017,Open,Site downloaded for cleaning,,981721,170965
856 EAST  180 STREET,BRONX,06 BRONX,Precinct 48,17,2031180029,02/21/2017,Open,Site downloaded for cleaning,,1016451,247357
706 MYRTLE AVENUE,BROOKLYN,03 BROOKLYN,Precinct 79,33,3017510020,02/24/2017,Open,Site downloaded for cleaning,,996712,192376
210 SHERMAN AVENUE,MANHATTAN,12 MANHATTAN,Precinct 34,10,1022260029,01/13/2017,Open,Site downloaded for cleaning,,1006142,254609
1192 DEAN STREET,BROOKLYN,08 BROOKLYN,Precinct 77,36,3012120042,01/16/2017,Open,Site downloaded for cleaning,,998044,185889
5416 8 AVENUE,BROOKLYN,07 BROOKLYN,Precinct 72,38,3008260044,12/27/2016,Open,Site downloaded for cleaning,,982528,171985
33-03 BROADWAY,QUEENS,01 QUEENS,Precinct 114,22,4006230107,11/01/2016,Open,Site downloaded for cleaning,,1005401,216601
1100 BROADWAY,BROOKLYN,03 BROOKLYN,Precinct 81,36,3016000017,11/02/2016,Open,Site downloaded for cleaning,,1003582,192192
7 CENTRE MARKET PLACE,MANHATTAN,02 MANHATTAN,Precinct 5,01,1004710007,09/25/2016,Open,Site downloaded for cleaning,,984872,201606
4023 8 AVENUE,BROOKLYN,12 BROOKLYN,Precinct 66,38,3009200001,09/06/2016,Open,Site downloaded for cleaning,,984791,174829
3524 FLATLANDS AVENUE,BROOKLYN,18 BROOKLYN,Precinct 63,45,3076970048,07/21/2016,Open,Site downloaded for cleaning,,1000713,164345
144 WYCKOFF AVENUE,BROOKLYN,04 BROOKLYN,Precinct 83,37,3032700038,03/30/2017,Open,Site to be cleaned.,,1007217,195414
8010 FLATLANDS AVENUE,BROOKLYN,18 BROOKLYN,Precinct 69,46,3080170036,03/31/2017,Open,Notice of Intent to Clean and Forever graffiti free form sent,,1008369,170859
1372 BEDFORD AVENUE,BROOKLYN,08 BROOKLYN,Precinct 77,35,3012110043,05/02/2017,Open,Site downloaded for cleaning,,997280,185700
749 39 STREET,BROOKLYN,07 BROOKLYN,Precinct 72,38,3009030059,04/19/2017,Open,Site downloaded for cleaning,,984690,175345
1673 MCDONALD AVENUE,BROOKLYN,12 BROOKLYN,Precinct 66,44,3065830070,04/13/2017,Open,Site downloaded for cleaning,,991581,162254
1209 MCDONALD AVENUE,BROOKLYN,12 BROOKLYN,Precinct 66,44,3065140057,04/08/2017,Open,Site downloaded for cleaning,,990949,166626
220 EAST  170 STREET,BRONX,04 BRONX,Precinct 44,16,2028300035,04/05/2017,Open,Site downloaded for cleaning,,1008415,244703
2455 MCDONALD AVENUE,BROOKLYN,15 BROOKLYN,Precinct 61,47,3071730001,04/08/2017,Open,Site downloaded for cleaning,,991490,154950
529 WAVERLY AVENUE,BROOKLYN,02 BROOKLYN,Precinct 88,35,3020120010,03/22/2017,Open,Site downloaded for cleaning,,993767,187882
1697 JEROME AVENUE,BRONX,05 BRONX,Precinct 46,14,2028610094,02/14/2017,Open,Site downloaded for cleaning,,1008331,247823
21-21 44 ROAD,QUEENS,02 QUEENS,Precinct 108,26,4004390008,03/01/2017,Open,Site downloaded for cleaning,,999149,212049
7711 13 AVENUE,BROOKLYN,10 BROOKLYN,Precinct 68,43,3062440006,03/03/2017,Open,Site downloaded for cleaning,,981819,164800
626 BROADWAY,BROOKLYN,01 BROOKLYN,Precinct 90,33,3022670014,02/07/2017,Open,Site downloaded for cleaning,,999232,195417
193 MARCUS GARVEY AVENUE,BROOKLYN,03 BROOKLYN,Precinct 81,36,3016050001,02/28/2017,Open,Site downloaded for cleaning,,1000959,191255
2408 GRAND CONCOURSE,BRONX,05 BRONX,Precinct 46,15,2031520051,01/04/2017,Open,Site downloaded for cleaning,,1012352,252649
200 MOORE STREET,BROOKLYN,01 BROOKLYN,Precinct 90,34,3031090022,12/07/2016,Open,Site downloaded for cleaning,,1001805,195876
1522 INWOOD AVENUE,BRONX,04 BRONX,Precinct 44,14,2028590018,11/09/2016,Open,Site downloaded for cleaning,,1007233,246516
1007 BEACH   20 STREET,QUEENS,14 QUEENS,Precinct 101,31,4157040001,07/12/2016,Open,Site downloaded for cleaning,,1052764,158937
98 EAST    7 STREET,MANHATTAN,03 MANHATTAN,Precinct 9,02,1004340013,04/17/2017,Open,Notice of Intent to Clean and Forever graffiti free form sent,,988379,204033
1750 GRAND CONCOURSE,BRONX,05 BRONX,Precinct 46,15,2028250010,04/12/2017,Open,Notice of Intent to Clean and Forever graffiti free form sent,,1009070,247425
351 4 STREET,BROOKLYN,06 BROOKLYN,Precinct 78,39,3009820061,05/02/2017,Open,Notice of Intent to Clean and Forever graffiti free form sent,,989097,183957
257-02 HILLSIDE AVENUE,QUEENS,13 QUEENS,Precinct 105,23,4087870001,04/18/2017,Open,Notice of Intent to Clean and Forever graffiti free form sent,,1064374,207836
423 EAST  140 STREET,BRONX,01 BRONX,Precinct 40,08,2022850085,04/16/2017,Open,Notice of Intent to Clean and Forever graffiti free form sent,,1006140,234385
25-20 23 AVENUE,QUEENS,01 QUEENS,Precinct 114,22,4008640041,04/07/2017,Open,Notice of Intent to Clean and Forever graffiti free form sent,,1007401,222318
2071 2 AVENUE,MANHATTAN,11 MANHATTAN,Precinct 23,08,1016560001,04/23/2017,Open,Site downloaded for cleaning,,1000252,227448
508 PUTNAM AVENUE,BROOKLYN,03 BROOKLYN,Precinct 79,36,3018310010,05/03/2017,Open,Site downloaded for cleaning,,1000666,188877
1881 MCDONALD AVENUE,BROOKLYN,15 BROOKLYN,Precinct 61,44,3066330048,04/08/2017,Open,Site downloaded for cleaning,,991841,160462
41 MONROE STREET,BROOKLYN,03 BROOKLYN,Precinct 79,35,3019850057,03/23/2017,Open,Site downloaded for cleaning,,996040,188727
5011 8 AVENUE,BROOKLYN,12 BROOKLYN,Precinct 66,38,3056440006,12/27/2016,Open,Site downloaded for cleaning,,983187,172805
330 NEW LOTS AVENUE,BROOKLYN,05 BROOKLYN,Precinct 75,42,3042970002,10/25/2016,Open,Site downloaded for cleaning,,1013518,180188
311 WEST  117 STREET,MANHATTAN,10 MANHATTAN,Precinct 28,09,1019440024,05/06/2017,Open,Site to be cleaned.,,996626,232667
83 EAST HOUSTON STREET,MANHATTAN,02 MANHATTAN,Precinct 5,01,,04/24/2017,Open,Property Research Required,,986179,203151
320 BOLTON AVENUE,BRONX,09 BRONX,Precinct 43,18,,05/06/2017,Open,Property Research Required,,1023867,235043
 WEST 110 STREET AND 7 AVENUE,MANHATTAN,Unspecified MANHATTAN,Unspecified,,,02/04/2017,Open,Property Research Required,,,
 2346 8 avnue,MANHATTAN,Unspecified MANHATTAN,Unspecified,,,02/06/2017,Open,Property Research Required,,,
95A DELANCEY STREET,MANHATTAN,03 MANHATTAN,Precinct 7,01,,12/16/2016,Open,Property Research Required,,987239,201173
937 INTERVALE AVENUE,BRONX,02 BRONX,Precinct 41,17,,09/21/2016,Open,Property Research Required,,1012778,238336
1262 EAST 109 STREET,BRONX,Unspecified BRONX,Unspecified,,,07/29/2016,Open,Property Research Required,,,
 west 155 street and edgecombe avenue,MANHATTAN,Unspecified MANHATTAN,Unspecified,,,06/22/2016,Open,Property Research Required,,,
825 BERGEN STREET,BROOKLYN,08 BROOKLYN,Precinct 77,35,3011410128,05/17/2016,Open,Property Research Required,,995209,186224
416 UNION AVENUE,BROOKLYN,01 BROOKLYN,Precinct 90,34,,05/30/2016,Open,Property Research Required,,997721,198979
105 CITY ISLAND AVENUE,BRONX,10 BRONX,Precinct 45,13,2056250099,04/05/2017,Open,Site downloaded for cleaning,,1043989,245677
3744 WHITEPLAINS ROAD,BRONX,12 BRONX,Precinct 47,12,2046650059,11/09/2016,Open,Site downloaded for cleaning,,1022055,260897
940 EAST  149 STREET,BRONX,01 BRONX,Precinct 40,17,2025990069,01/24/2017,Pending,Cleaning crew dispatched.  Property cleaned.,01/19/2017,1011187,233525
1601 CHURCH AVENUE,BROOKLYN,14 BROOKLYN,Precinct 70,40,3050770035,02/01/2017,Closed,Cleaning crew dispatched.  Property cleaned.,03/30/2017,994026,175648
