,INCIDENT_ADDRESS,BOROUGH,COMMUNITY_BOARD,POLICE_PRECINCT,CITY_COUNCIL_DISTRICT,BBL,CREATED_DATE,STATUS,RESOLUTION_ACTION,CLOSED_DATE,X_COORDINATE,Y_COORDINATE
4143,441 CONCORD AVENUE,BRONX,01 BRONX,Precinct 40,8.0,2025780015.0,03/06/2017,Closed,Cleaning crew dispatched.  Property cleaned.,04/05/2017,1009384.0,234454.0
4144,10 LUDLOW STREET,MANHATTAN,03 MANHATTAN,Precinct 7,1.0,1002970001.0,11/17/2016,Closed,Cleaning crew dispatched.  Property cleaned.,04/03/2017,986766.0,199792.0
4145,851 GRAND CONCOURSE,BRONX,04 BRONX,Precinct 44,8.0,2024680001.0,12/03/2016,Closed,Cleaning crew dispatched. No graffiti on property.,03/29/2017,1005524.0,240220.0
4146,2434 EAST TREMONT AVENUE,BRONX,10 BRONX,Precinct 45,18.0,2039970034.0,01/25/2017,Closed,Cleaning crew dispatched.  Property cleaned.,03/07/2017,1025164.0,246294.0
4147,523 SUTTER AVENUE,BROOKLYN,05 BROOKLYN,Precinct 75,42.0,3037500001.0,01/12/2017,Closed,Cleaning crew dispatched.  Property cleaned.,02/28/2017,1012099.0,182928.0
4148,1121 BEDFORD AVENUE,BROOKLYN,03 BROOKLYN,Precinct 79,36.0,3018120001.0,01/04/2017,Closed,Cleaning crew dispatched.  Property cleaned.,02/27/2017,996928.0,188955.0
4149,76-27 37 AVENUE,QUEENS,03 QUEENS,Precinct 115,25.0,4012760037.0,11/12/2016,Closed,Cleaning crew dispatched.  Property cleaned.,02/23/2017,1014841.0,212251.0
4150,40 FRANKLIN STREET,BROOKLYN,01 BROOKLYN,Precinct 94,33.0,3025920016.0,11/03/2016,Closed,Cleaning crew dispatched.  Property cleaned.,02/23/2017,996084.0,203955.0
4151,203 2 AVENUE,MANHATTAN,03 MANHATTAN,Precinct 9,2.0,1004680036.0,10/25/2016,Closed,Cleaning crew dispatched.  Owner refused.,01/27/2017,988228.0,205745.0
4152,1665 WEBSTER AVENUE,BRONX,04 BRONX,Precinct 44,16.0,2028880043.0,09/26/2016,Closed,Cleaning crew dispatched.  Property cleaned.,11/21/2016,1010846.0,246233.0
4153,1153 FULTON STREET,BROOKLYN,03 BROOKLYN,Precinct 79,36.0,3019990042.0,09/14/2016,Closed,Cleaning crew dispatched. No graffiti on property.,11/21/2016,996617.0,187419.0
4154,186 PENNSYLVANIA AVENUE,BROOKLYN,05 BROOKLYN,Precinct 75,37.0,3037030036.0,10/25/2016,Closed,Cleaning crew dispatched.  Property cleaned.,11/17/2016,1013027.0,184620.0
4155,79-06 51 AVENUE,QUEENS,04 QUEENS,Precinct 110,25.0,4024710101.0,06/07/2016,Closed,Cleaning crew dispatched.  Property cleaned.,11/09/2016,1016260.0,207918.0
4156,2299 BROADWAY,MANHATTAN,07 MANHATTAN,Precinct 20,6.0,1012300008.0,08/30/2016,Closed,Cleaning crew dispatched.  Property cleaned.,11/04/2016,990304.0,225759.0
4157,8150 NEW UTRECHT AVENUE,BROOKLYN,11 BROOKLYN,Precinct 62,43.0,3063140010.0,06/13/2016,Closed,Cleaning crew dispatched.  Owner refused.,10/28/2016,983801.0,161523.0
4158,691 FULTON STREET,BROOKLYN,02 BROOKLYN,Precinct 88,35.0,3020960069.0,07/22/2016,Closed,Cleaning crew dispatched.  Property cleaned.,10/18/2016,990382.0,189824.0
4159,55 CANAL STREET,MANHATTAN,03 MANHATTAN,Precinct 7,1.0,1002990033.0,05/20/2016,Closed,Cleaning crew dispatched.  Property cleaned.,10/18/2016,986479.0,199744.0
4160,218 FRONT STREET,BROOKLYN,02 BROOKLYN,Precinct 84,33.0,3000550020.0,08/09/2016,Closed,Cleaning crew dispatched.  Property cleaned.,10/13/2016,988770.0,195147.0
4161,515 MYRTLE AVENUE,BROOKLYN,02 BROOKLYN,Precinct 88,35.0,3018920070.0,08/01/2016,Closed,Cleaning crew dispatched. No graffiti on property.,10/12/2016,994156.0,191979.0
4162,409 WITHERS STREET,BROOKLYN,01 BROOKLYN,Precinct 94,34.0,3028690031.0,08/18/2016,Closed,Cleaning crew dispatched.  Cannot locate property.,09/29/2016,1001928.0,201259.0
4163,392 LEONARD STREET,BROOKLYN,01 BROOKLYN,Precinct 94,34.0,3027330007.0,05/11/2016,Closed,Cleaning crew dispatched.  Property cleaned.,09/06/2016,998559.0,200976.0
4164,436 JEFFERSON STREET,BROOKLYN,04 BROOKLYN,Precinct 83,34.0,3031770014.0,06/24/2016,Closed,Cleaning crew dispatched.  Property cleaned.,08/30/2016,1005577.0,197054.0
4165,1638 ANTHONY AVENUE,BRONX,04 BRONX,Precinct 44,16.0,2028880021.0,06/06/2016,Closed,Cleaning crew dispatched.  Property cleaned.,08/04/2016,1010566.0,246296.0
4166,344 AVENUE X,BROOKLYN,15 BROOKLYN,Precinct 61,47.0,3071950001.0,06/01/2016,Closed,Cleaning crew dispatched.  Property cleaned.,08/02/2016,992481.0,154420.0
4167,725 LEONARD STREET,BROOKLYN,01 BROOKLYN,Precinct 94,33.0,3025740053.0,05/21/2016,Closed,Cleaning crew dispatched.  Property cleaned.,07/15/2016,997312.0,204948.0
4168,2233 CATON AVENUE,BROOKLYN,14 BROOKLYN,Precinct 70,40.0,3050837501.0,12/03/2016,Closed,Cleaning crew dispatched.  Property cleaned.,03/30/2017,996405.0,177075.0
4169,344 HOOPER STREET,BROOKLYN,01 BROOKLYN,Precinct 90,34.0,3024380040.0,06/23/2016,Closed,Cleaning crew dispatched.  Cannot locate property.,08/31/2016,997238.0,197385.0
4170,107-29 METROPOLITAN AVENUE,QUEENS,06 QUEENS,Precinct 112,29.0,4032770067.0,06/02/2016,Closed,Graffiti is intentional.,,1027155.0,197829.0
4171,1002 FOSTER AVENUE,BROOKLYN,14 BROOKLYN,Precinct 70,40.0,3064980001.0,12/11/2016,Closed,Cleaning crew dispatched. No graffiti on property.,04/26/2017,993294.0,169524.0
4172,120 WEST  167 STREET,BRONX,04 BRONX,Precinct 44,16.0,2025140064.0,01/04/2017,Closed,Cleaning crew dispatched.  Property cleaned.,04/19/2017,1004628.0,244116.0
4173,8608 4 AVENUE,BROOKLYN,10 BROOKLYN,Precinct 68,43.0,3060440041.0,02/16/2017,Closed,Cleaning crew dispatched.  Property cleaned.,04/14/2017,976360.0,166127.0
4174,383 KNICKERBOCKER AVENUE,BROOKLYN,04 BROOKLYN,Precinct 83,37.0,3032580001.0,07/17/2016,Closed,Cleaning crew dispatched.  Property cleaned.,04/14/2017,1006159.0,194431.0
4175,101 NASSAU AVENUE,BROOKLYN,01 BROOKLYN,Precinct 94,33.0,3026470029.0,05/08/2016,Closed,Cleaning crew dispatched.  Property cleaned.,04/11/2017,998092.0,203061.0
4176,567 JEFFERSON AVENUE,BROOKLYN,03 BROOKLYN,Precinct 81,36.0,3016500076.0,03/03/2017,Closed,Cleaning crew dispatched.  Property cleaned.,04/07/2017,1002275.0,188855.0
4177,140 ELDRIDGE STREET,MANHATTAN,03 MANHATTAN,Precinct 5,1.0,1004140004.0,11/13/2016,Closed,Cleaning crew dispatched.  Property cleaned.,04/07/2017,986611.0,201253.0
4178,400 WEST  148 STREET,MANHATTAN,09 MANHATTAN,Precinct 30,9.0,1020620036.0,12/19/2016,Closed,Cleaning crew dispatched.  Property cleaned.,03/29/2017,999860.0,240234.0
4179,673 47 STREET,BROOKLYN,07 BROOKLYN,Precinct 72,38.0,3007580047.0,11/28/2016,Closed,Cleaning crew dispatched.  Property cleaned.,03/27/2017,982891.0,174114.0
4180,9102 5 AVENUE,BROOKLYN,10 BROOKLYN,Precinct 68,43.0,3060870019.0,12/25/2016,Closed,Cleaning crew dispatched.  Property cleaned.,03/27/2017,976252.0,164608.0
4181,2039 86 STREET,BROOKLYN,11 BROOKLYN,Precinct 62,47.0,3063460062.0,11/29/2016,Closed,Cleaning crew dispatched.  Property cleaned.,03/24/2017,985028.0,159323.0
4182,27-19 24 AVENUE,QUEENS,01 QUEENS,Precinct 114,22.0,4008530078.0,11/11/2016,Closed,Cleaning crew dispatched.  Property cleaned.,02/21/2017,1007083.0,221215.0
4183,30 ALLEN STREET,MANHATTAN,03 MANHATTAN,Precinct 7,1.0,1002990024.0,10/21/2016,Closed,Cleaning crew dispatched.  Property cleaned.,01/25/2017,986435.0,200051.0
4184,457 MYRTLE AVENUE,BROOKLYN,02 BROOKLYN,Precinct 88,35.0,3018890091.0,08/14/2016,Closed,Cleaning crew dispatched. No graffiti on property.,12/21/2016,993352.0,191871.0
4185,160 7 AVENUE,BROOKLYN,06 BROOKLYN,Precinct 78,39.0,3009660042.0,08/10/2016,Closed,Cleaning crew dispatched.  Property cleaned.,12/14/2016,990563.0,184146.0
4186,298 BROADWAY,BROOKLYN,01 BROOKLYN,Precinct 90,33.0,3021410017.0,09/05/2016,Closed,Cleaning crew dispatched.  Property cleaned.,12/09/2016,995849.0,197408.0
4187,6501 BAY PARKWAY,BROOKLYN,11 BROOKLYN,Precinct 62,44.0,3065787501.0,10/18/2016,Closed,Cleaning crew dispatched.  Property cleaned.,12/08/2016,989393.0,162898.0
4188,7211 5 AVENUE,BROOKLYN,10 BROOKLYN,Precinct 68,43.0,3059100005.0,09/01/2016,Closed,Cleaning crew dispatched.  Property cleaned.,12/05/2016,978202.0,169361.0
4189,1312 AVENUE H,BROOKLYN,14 BROOKLYN,Precinct 70,45.0,3066970005.0,08/15/2016,Closed,Cleaning crew dispatched.  Property cleaned.,11/23/2016,994262.0,168715.0
4190,49-02 108 STREET,QUEENS,04 QUEENS,Precinct 110,21.0,4019930060.0,07/25/2016,Closed,Cleaning crew dispatched.  Property cleaned.,11/18/2016,1024178.0,210789.0
4191,775 49 STREET,BROOKLYN,07 BROOKLYN,Precinct 72,38.0,3007770044.0,09/06/2016,Closed,Cleaning crew dispatched.  Property cleaned.,11/14/2016,983188.0,173214.0
4192,400 EAST   88 STREET,MANHATTAN,08 MANHATTAN,Precinct 19,5.0,1015670045.0,07/09/2016,Closed,Cleaning crew dispatched.  Property cleaned.,11/04/2016,998627.0,222739.0
4193,3487 BROADWAY,MANHATTAN,09 MANHATTAN,Precinct 30,7.0,1020890031.0,07/19/2016,Closed,Cleaning crew dispatched.  Property cleaned.,11/04/2016,997622.0,239761.0
4194,829 10 AVENUE,MANHATTAN,04 MANHATTAN,Precinct 18,6.0,1010830035.0,06/17/2016,Closed,Cleaning crew dispatched.  Property cleaned.,11/03/2016,987135.0,218980.0
4195,1 CONVENT AVENUE,MANHATTAN,09 MANHATTAN,Precinct 26,9.0,1019540001.0,06/29/2016,Closed,Cleaning crew dispatched.  Property cleaned.,11/03/2016,997229.0,235410.0
4196,22 LUDLOW STREET,MANHATTAN,03 MANHATTAN,Precinct 7,1.0,1002970008.0,06/10/2016,Closed,Cleaning crew dispatched.  Property cleaned.,11/02/2016,986814.0,199916.0
4197,125 ALLEN STREET,MANHATTAN,03 MANHATTAN,Precinct 5,1.0,1004150033.0,05/22/2016,Closed,Cleaning crew dispatched. No graffiti on property.,11/01/2016,987003.0,201522.0
4198,1160 FLATBUSH AVENUE,BROOKLYN,14 BROOKLYN,Precinct 70,40.0,3051860003.0,07/14/2016,Closed,Cleaning crew dispatched.  Owner refused.,10/25/2016,996134.0,173199.0
4199,11 ESSEX STREET,MANHATTAN,03 MANHATTAN,Precinct 7,1.0,1002970024.0,06/02/2016,Closed,Cleaning crew dispatched.  Property cleaned.,10/20/2016,987018.0,199792.0
4200,1750 VAN BUREN STREET,BRONX,11 BRONX,Precinct 49,15.0,2040190001.0,06/23/2016,Closed,Cleaning crew dispatched.  Property cleaned.,10/14/2016,1019995.0,246016.0
4201,263 CLERMONT AVENUE,BROOKLYN,02 BROOKLYN,Precinct 88,35.0,3020920072.0,07/21/2016,Closed,Cleaning crew dispatched.  Property cleaned.,10/12/2016,992516.0,190615.0
4202,43-20 30 AVENUE,QUEENS,01 QUEENS,Precinct 114,22.0,4006970072.0,06/28/2016,Closed,Cleaning crew dispatched.  Property cleaned.,09/23/2016,1008525.0,217142.0
4203,27-02 CRESCENT STREET,QUEENS,01 QUEENS,Precinct 114,22.0,4005440019.0,06/11/2016,Closed,Cleaning crew dispatched.  Property cleaned.,09/22/2016,1005380.0,219942.0
4204,142 NASSAU AVENUE,BROOKLYN,01 BROOKLYN,Precinct 94,33.0,3026830003.0,05/30/2016,Closed,Cleaning crew dispatched.  Owner refused.,09/15/2016,998759.0,203345.0
4205,150 FRANKLIN STREET,BROOKLYN,01 BROOKLYN,Precinct 94,33.0,3025580004.0,06/17/2016,Closed,Cleaning crew dispatched.  Property cleaned.,08/23/2016,995992.0,205311.0
4206,2917 AVENUE N,BROOKLYN,14 BROOKLYN,Precinct 70,45.0,3076650004.0,05/19/2016,Closed,Cleaning crew dispatched.  Property cleaned.,08/23/2016,999296.0,164122.0
4207,1844 FLATBUSH AVENUE,BROOKLYN,18 BROOKLYN,Precinct 63,45.0,3076370034.0,05/18/2016,Closed,Cleaning crew dispatched.  Property cleaned.,08/04/2016,1001138.0,166904.0
4208,2428 BELMONT AVENUE,BRONX,06 BRONX,Precinct 48,15.0,2030750010.0,05/11/2016,Closed,Cleaning crew dispatched.  Property cleaned.,08/03/2016,1015854.0,250929.0
4209,695 CONEY ISLAND AVENUE,BROOKLYN,14 BROOKLYN,Precinct 70,40.0,3051410237.0,02/14/2017,Closed,Cleaning crew dispatched.  Property cleaned.,03/30/2017,992817.0,172637.0
4210,145 BEACH  149 STREET,QUEENS,14 QUEENS,Precinct 100,32.0,4163230028.0,09/30/2016,Closed,Cleaning crew dispatched. No graffiti on property.,11/16/2016,1022226.0,146233.0
4211,1237 CROES AVENUE,BRONX,09 BRONX,Precinct 43,18.0,2037810052.0,02/23/2017,Closed,Cleaning crew dispatched.  Property cleaned.,04/18/2017,1019954.0,242007.0
4212,13 CONSELYEA STREET,BROOKLYN,01 BROOKLYN,Precinct 94,34.0,3027510049.0,01/18/2017,Closed,Cleaning crew dispatched.  Property cleaned.,04/07/2017,997843.0,199635.0
4213,437 MONTAUK AVENUE,BROOKLYN,05 BROOKLYN,Precinct 75,42.0,3044560056.0,01/29/2017,Closed,Cleaning crew dispatched.  Property cleaned.,04/07/2017,1018712.0,182522.0
4214,4411 6 AVENUE,BROOKLYN,07 BROOKLYN,Precinct 72,38.0,3007400006.0,01/18/2017,Closed,Cleaning crew dispatched.  Property cleaned.,03/29/2017,982934.0,174997.0
4215,1166 GRANDCONCOURSE,BRONX,04 BRONX,Precinct 44,16.0,2024560150.0,01/04/2017,Closed,Cleaning crew dispatched.  Property cleaned.,03/06/2017,1006738.0,242921.0
4216,165 MESEROLE STREET,BROOKLYN,01 BROOKLYN,Precinct 90,34.0,3030440029.0,12/07/2016,Closed,Cleaning crew dispatched.  Property cleaned.,03/02/2017,1000186.0,197282.0
4217,130 AVENUE C,BROOKLYN,12 BROOKLYN,Precinct 66,39.0,3053700013.0,08/21/2016,Closed,Cleaning crew dispatched.  Property cleaned.,12/06/2016,990216.0,172581.0
4218,3039 FULTON STREET,BROOKLYN,05 BROOKLYN,Precinct 75,37.0,3039430018.0,09/22/2016,Closed,Cleaning crew dispatched.  Property cleaned.,11/18/2016,1016812.0,187261.0
4219,124-16 15 AVENUE,QUEENS,07 QUEENS,Precinct 109,19.0,4040880026.0,05/09/2016,Closed,Cleaning crew dispatched.  Property cleaned.,10/04/2016,1027529.0,225152.0
4220,80-28 LEFFERTS BOULEVARD,QUEENS,09 QUEENS,Precinct 102,29.0,4033530053.0,05/27/2016,Closed,Cleaning crew dispatched. No graffiti on property.,09/06/2016,1031781.0,198025.0
4221,8161 BAY   16 STREET,BROOKLYN,11 BROOKLYN,Precinct 62,43.0,3063140001.0,06/11/2016,Closed,Cleaning crew dispatched.  Cannot locate property.,08/24/2016,983681.0,161582.0
4222,737 44 STREET,BROOKLYN,07 BROOKLYN,Precinct 72,38.0,3007320064.0,05/21/2016,Closed,Cleaning crew dispatched. No graffiti on property.,08/24/2016,983859.0,174344.0
4223,507 VANDERBILT AVENUE,BROOKLYN,02 BROOKLYN,Precinct 88,35.0,3020100018.0,05/10/2016,Closed,Cleaning crew dispatched. No graffiti on property.,08/24/2016,993185.0,188100.0
4224,221 BEDFORD AVENUE,BROOKLYN,01 BROOKLYN,Precinct 94,34.0,3023440002.0,05/18/2016,Closed,Cleaning crew dispatched. No graffiti on property.,08/22/2016,995579.0,200323.0
4225,1655 68 STREET,BROOKLYN,11 BROOKLYN,Precinct 62,38.0,3055670025.0,06/02/2016,Closed,Cleaning crew dispatched. No graffiti on property.,08/16/2016,985531.0,164971.0
4226,847 DEKALB AVENUE,BROOKLYN,03 BROOKLYN,Precinct 79,36.0,3017770067.0,05/26/2016,Closed,Cleaning crew dispatched.  Property cleaned.,08/11/2016,1000287.0,191556.0
4227,80 LYMAN AVENUE,STATEN ISLAND,01 STATEN ISLAND,Precinct 120,50.0,5030720045.0,10/17/2016,Closed,10-90Z - Gone on Arrival,10/17/2016,966357.0,160277.0
4228,78 WEST 180 STREET,BRONX,05 BRONX,Precinct 46,14.0,2032100050.0,03/11/2017,Closed,10-90X - Unfounded,03/11/2017,1009235.0,251090.0
4229,62-37 MOUNT OLIVET CRESCENT,QUEENS,05 QUEENS,Precinct 104,30.0,,02/06/2017,Closed,10-93C - Report Prepared,02/06/2017,1013089.0,199572.0
4230,102 NORTH    1 STREET,BROOKLYN,01 BROOKLYN,Precinct 90,34.0,3023790016.0,11/22/2016,Closed,Cleaning crew dispatched.  Property cleaned.,04/27/2017,994510.0,200104.0
4231,710 EAST  228 STREET,BRONX,12 BRONX,Precinct 47,12.0,2048410050.0,03/09/2017,Closed,Cleaning crew dispatched.  Cannot locate property.,04/18/2017,1023328.0,263457.0
4232,400 ROCKAWAY AVENUE,BROOKLYN,16 BROOKLYN,Precinct 73,41.0,3034990161.0,11/10/2016,Closed,Cleaning crew dispatched.  Owner refused.,03/01/2017,1008968.0,183479.0
4233,267 BOWERY,MANHATTAN,03 MANHATTAN,Precinct 5,1.0,1004277505.0,08/07/2016,Closed,Cleaning crew dispatched.  Property cleaned.,01/30/2017,986236.0,202861.0
4234,3581 BROADWAY,MANHATTAN,09 MANHATTAN,Precinct 30,7.0,1020940032.0,09/01/2016,Closed,Cleaning crew dispatched.  Property cleaned.,12/14/2016,998240.0,240880.0
4235,1617 AVENUE M,BROOKLYN,14 BROOKLYN,Precinct 70,44.0,3067360048.0,07/27/2016,Closed,Cleaning crew dispatched.  Property cleaned.,10/24/2016,995673.0,164487.0
4236,6100 RIVERDALE AVENUE,BRONX,08 BRONX,Precinct 50,11.0,2058871309.0,07/22/2016,Closed,Cleaning crew dispatched.  Property cleaned.,10/20/2016,1011031.0,271005.0
4237,16 MESEROLE STREET,BROOKLYN,01 BROOKLYN,Precinct 90,34.0,3030490012.0,07/21/2016,Closed,Cleaning crew dispatched.  Property cleaned.,10/03/2016,998185.0,197026.0
4238,9122 5 AVENUE,BROOKLYN,10 BROOKLYN,Precinct 68,43.0,3060870027.0,05/05/2017,Open,Graffiti Reported,,976228.0,164572.0
4239,1779 SOUTHERN BOULEVARD,BRONX,03 BRONX,Precinct 42,17.0,2029400040.0,05/06/2017,Open,Graffiti Reported,,1015375.0,244531.0
4240,2528 7 AVENUE,MANHATTAN,10 MANHATTAN,Precinct 32,9.0,1020320032.0,04/12/2017,Open,Notice of Intent to Clean and Forever graffiti free form sent,,1001301.0,238975.0
4241,2496 8 AVENUE,MANHATTAN,10 MANHATTAN,Precinct 32,9.0,1019390004.0,04/06/2017,Open,Notice of Intent to Clean and Forever graffiti free form sent,,998842.0,236379.0
4242,158 MADISON STREET,MANHATTAN,03 MANHATTAN,Precinct 7,1.0,1002550001.0,04/23/2017,Open,Public Property (Non-City),,986425.0,198848.0
4243,39 PEARL STREET,BROOKLYN,02 BROOKLYN,Precinct 84,33.0,3000300007.0,05/02/2017,Open,Site downloaded for cleaning,,987703.0,195651.0
4244,1239 BROADWAY,MANHATTAN,05 MANHATTAN,Precinct 14,3.0,1008320001.0,04/14/2017,Open,Site downloaded for cleaning,,987465.0,211478.0
4245,550 WEST  172 STREET,MANHATTAN,12 MANHATTAN,Precinct 33,10.0,1021280015.0,04/15/2017,Open,Site downloaded for cleaning,,1001706.0,246427.0
4246,141 NEVINS STREET,BROOKLYN,02 BROOKLYN,Precinct 84,33.0,3001970002.0,03/28/2017,Open,Site downloaded for cleaning,,988730.0,188592.0
4247,45 LUDLOW STREET,MANHATTAN,03 MANHATTAN,Precinct 7,1.0,1003090025.0,03/13/2017,Open,Site downloaded for cleaning,,986944.0,200264.0
4248,471 MARCUS GARVEY BOULEVARD,BROOKLYN,03 BROOKLYN,Precinct 81,36.0,3016790001.0,03/18/2017,Open,Site downloaded for cleaning,,1001558.0,187309.0
4249,385 SMITH STREET,BROOKLYN,06 BROOKLYN,Precinct 76,39.0,3004640008.0,03/03/2017,Open,Site downloaded for cleaning,,985408.0,186562.0
4250,615 MELROSE AVENUE,BRONX,01 BRONX,Precinct 40,17.0,2023980027.0,03/06/2017,Open,Site downloaded for cleaning,,1007206.0,237183.0
4251,1568 WHITE PLAINS ROAD,BRONX,09 BRONX,Precinct 43,18.0,2039370133.0,02/09/2017,Open,Site downloaded for cleaning,,1021919.0,245223.0
4252,370 WILLIS AVENUE,BRONX,01 BRONX,Precinct 40,8.0,2022870007.0,02/13/2017,Open,Site downloaded for cleaning,,1006199.0,235150.0
4253,6518 13 AVENUE,BROOKLYN,10 BROOKLYN,Precinct 68,38.0,3057530046.0,02/16/2017,Open,Site downloaded for cleaning,,983777.0,167280.0
4254,3309 FULTON STREET,BROOKLYN,05 BROOKLYN,Precinct 75,37.0,3041290060.0,03/03/2017,Open,Site downloaded for cleaning,,1019345.0,188245.0
4255,862 9 AVENUE,MANHATTAN,04 MANHATTAN,Precinct 18,3.0,1010460061.0,02/20/2017,Open,Site downloaded for cleaning,,988056.0,218768.0
4256,1069 LIBERTY AVENUE,BROOKLYN,05 BROOKLYN,Precinct 75,37.0,3041710030.0,03/02/2017,Open,Site downloaded for cleaning,,1020327.0,186426.0
4257,488 DEKALB AVENUE,BROOKLYN,03 BROOKLYN,Precinct 79,36.0,3019410019.0,02/21/2017,Open,Site downloaded for cleaning,,996157.0,190924.0
4258,2160 WALTON AVENUE,BRONX,05 BRONX,Precinct 46,14.0,2031800009.0,02/27/2017,Open,Site downloaded for cleaning,,1010671.0,251026.0
4259,37-02 31 AVENUE,QUEENS,01 QUEENS,Precinct 114,22.0,4006570038.0,02/07/2017,Open,Site downloaded for cleaning,,1006811.0,216906.0
4260,510 LEONARD STREET,BROOKLYN,01 BROOKLYN,Precinct 94,33.0,3026980016.0,01/30/2017,Open,Site downloaded for cleaning,,998378.0,202439.0
4261,34-56 33 STREET,QUEENS,01 QUEENS,Precinct 114,26.0,4006090001.0,01/26/2017,Open,Site downloaded for cleaning,,1004554.0,215311.0
4262,93 FEATHERBED LANE,BRONX,05 BRONX,Precinct 46,14.0,2028760040.0,01/04/2017,Open,Site downloaded for cleaning,,1006937.0,247608.0
4263,5515 NEW UTRECHT AVENUE,BROOKLYN,12 BROOKLYN,Precinct 66,44.0,3056840018.0,01/18/2017,Open,Site downloaded for cleaning,,985498.0,169304.0
4264,300 WEST  144 STREET,MANHATTAN,10 MANHATTAN,Precinct 32,9.0,1020440016.0,01/20/2017,Open,Site downloaded for cleaning,,1000142.0,238842.0
4265,501 WEST  134 STREET,MANHATTAN,09 MANHATTAN,Precinct 30,7.0,1019880029.0,12/20/2016,Open,Site downloaded for cleaning,,997302.0,237408.0
4266,4403 8 AVENUE,BROOKLYN,12 BROOKLYN,Precinct 66,38.0,3007420009.0,12/27/2016,Open,Site downloaded for cleaning,,984167.0,174042.0
4267,4501 8 AVENUE,BROOKLYN,12 BROOKLYN,Precinct 66,38.0,3007510011.0,12/27/2016,Open,Site downloaded for cleaning,,984007.0,173841.0
4268,49 AVENUE B,MANHATTAN,03 MANHATTAN,Precinct 9,2.0,1003860007.0,12/24/2016,Open,Site downloaded for cleaning,,989057.0,202713.0
4269,448 HERZL STREET,BROOKLYN,16 BROOKLYN,Precinct 73,42.0,3035970001.0,11/04/2016,Open,Site downloaded for cleaning,,1008420.0,179384.0
4270,1160 CROMWELL AVENUE,BRONX,04 BRONX,Precinct 44,16.0,2024960034.0,10/03/2016,Open,Site downloaded for cleaning,,1005554.0,243437.0
4271,4417 4 AVENUE,BROOKLYN,07 BROOKLYN,Precinct 72,38.0,3007380003.0,10/09/2016,Open,Site downloaded for cleaning,,981688.0,175969.0
4272,823 11 AVENUE,MANHATTAN,04 MANHATTAN,Precinct 18,6.0,1011040029.0,09/25/2016,Open,Mail returned / wrong address,,986542.0,219767.0
4273,1950 ROCKAWAY PARKWAY,BROOKLYN,18 BROOKLYN,Precinct 69,46.0,3082990045.0,04/12/2017,Open,Notice of Intent to Clean and Forever graffiti free form sent,,1014498.0,170635.0
4274,1175 MCDONALD AVENUE,BROOKLYN,12 BROOKLYN,Precinct 66,44.0,3065140070.0,04/08/2017,Open,Notice of Intent to Clean and Forever graffiti free form sent,,990919.0,166845.0
4275,248-25 NORTHERN BOULEVARD,QUEENS,11 QUEENS,Precinct 111,19.0,4081180028.0,04/26/2017,Open,Site downloaded for cleaning,,1056652.0,219003.0
4276,5602 6 AVENUE,BROOKLYN,07 BROOKLYN,Precinct 72,38.0,3008400038.0,04/27/2017,Open,Site downloaded for cleaning,,980999.0,172565.0
4277,68 LORRAINE STREET,BROOKLYN,06 BROOKLYN,Precinct 76,38.0,3005800005.0,05/02/2017,Open,Site downloaded for cleaning,,982278.0,184996.0
4278,42 LUDLOW STREET,MANHATTAN,03 MANHATTAN,Precinct 7,1.0,1003100005.0,03/13/2017,Open,Site downloaded for cleaning,,986937.0,200230.0
4279,400 WEST   15 STREET,MANHATTAN,04 MANHATTAN,Precinct 10,3.0,1007120036.0,04/10/2017,Open,Site downloaded for cleaning,,982776.0,209544.0
4280,1590 ROCKAWAY PARKWAY,BROOKLYN,18 BROOKLYN,Precinct 69,46.0,3082040001.0,03/31/2017,Open,Site downloaded for cleaning,,1012281.0,173242.0
4281,270 RIDER AVENUE,BRONX,01 BRONX,Precinct 40,8.0,2023330012.0,03/03/2017,Open,Site downloaded for cleaning,,1004281.0,235159.0
4282,830 WHITTIER STREET,BRONX,02 BRONX,Precinct 41,17.0,2027620257.0,03/06/2017,Open,Site downloaded for cleaning,,1016204.0,237375.0
4283,1232 HYLAN BOULEVARD,STATEN ISLAND,02 STATEN ISLAND,Precinct 122,50.0,5032200006.0,01/05/2017,Open,Site downloaded for cleaning,,960990.0,157099.0
4284,2641 BAINBRIDGE AVENUE,BRONX,07 BRONX,Precinct 52,15.0,2032940001.0,01/06/2017,Open,Site downloaded for cleaning,,1014109.0,254371.0
4285,716 BROADWAY,BROOKLYN,01 BROOKLYN,Precinct 90,33.0,3022760018.0,11/12/2016,Open,Site downloaded for cleaning,,1000087.0,194785.0
4286,2626 HYLAN BOULEVARD,STATEN ISLAND,02 STATEN ISLAND,Precinct 122,50.0,5039690035.0,10/28/2016,Open,Site downloaded for cleaning,,953100.0,146276.0
4287,1653 UTICA AVENUE,BROOKLYN,18 BROOKLYN,Precinct 63,46.0,3077540028.0,11/04/2016,Open,Site downloaded for cleaning,,1004164.0,169513.0
4288,625 WEST   55 STREET,MANHATTAN,04 MANHATTAN,Precinct 18,6.0,1011030015.0,03/29/2017,Open,Site to be cleaned.,,986194.0,219547.0
4289,110 OCEAN PARKWAY,BROOKLYN,12 BROOKLYN,Precinct 66,39.0,3053280010.0,04/07/2017,Open,Notice of Intent to Clean and Forever graffiti free form sent,,991117.0,175254.0
