,INCIDENT_ADDRESS,BOROUGH,COMMUNITY_BOARD,POLICE_PRECINCT,CITY_COUNCIL_DISTRICT,BBL,CREATED_DATE,STATUS,RESOLUTION_ACTION,CLOSED_DATE,X_COORDINATE,Y_COORDINATE
3164,759 MANHATTAN AVENUE,BROOKLYN,01 BROOKLYN,Precinct 94,33.0,3026190007.0,05/08/2016,Closed,Cleaning crew dispatched.  Property cleaned.,07/14/2016,997427.0,204029.0
3165,9223 3 AVENUE,BROOKLYN,10 BROOKLYN,Precinct 68,43.0,3061030001.0,05/09/2016,Closed,Cleaning crew dispatched.  Property cleaned.,07/01/2016,975147.0,164870.0
3166,267 MACON STREET,BROOKLYN,03 BROOKLYN,Precinct 79,36.0,3018470078.0,01/19/2017,Closed,Cleaning crew dispatched.  Property cleaned.,03/30/2017,1000796.0,187811.0
3167,27 STATE STREET,BROOKLYN,02 BROOKLYN,Precinct 84,33.0,3002590001.0,11/20/2016,Closed,Cleaning crew dispatched.  Property cleaned.,03/30/2017,984636.0,191453.0
3168,222 METROPOLITAN AVENUE,BROOKLYN,01 BROOKLYN,Precinct 90,34.0,3023660010.0,05/30/2016,Closed,Cleaning crew dispatched.  Property cleaned.,09/07/2016,995325.0,199836.0
3169,2106 BATHGATE AVENUE,BRONX,06 BRONX,Precinct 48,15.0,2030470028.0,01/02/2017,Closed,Cleaning crew dispatched.  Property cleaned.,03/09/2017,1013391.0,249436.0
3170,29-22 41 AVENUE,QUEENS,01 QUEENS,Precinct 114,26.0,4004180018.0,11/08/2016,Closed,Cleaning crew dispatched.  Owner refused.,04/28/2017,1001807.0,212883.0
3171,2340 VALENTINE AVENUE,BRONX,05 BRONX,Precinct 46,15.0,2031460023.0,01/06/2017,Closed,Cleaning crew dispatched. No graffiti on property.,04/24/2017,1012545.0,251844.0
3172,937 JEFFERSON AVENUE,BROOKLYN,03 BROOKLYN,Precinct 81,41.0,3014850047.0,11/05/2016,Closed,Cleaning crew dispatched.  Property cleaned.,03/01/2017,1006058.0,189428.0
3173,35 CEDAR STREET,BROOKLYN,04 BROOKLYN,Precinct 83,34.0,3032270064.0,11/03/2016,Closed,Cleaning crew dispatched.  Property cleaned.,02/24/2017,1004239.0,193174.0
3174,127 EVERGREEN AVENUE,BROOKLYN,04 BROOKLYN,Precinct 83,34.0,3031720005.0,12/14/2016,Closed,Cleaning crew dispatched.  Property cleaned.,02/22/2017,1003365.0,193981.0
3175,172 ELIZABETH STREET,MANHATTAN,02 MANHATTAN,Precinct 5,1.0,1004780016.0,08/13/2016,Closed,Cleaning crew dispatched.  Property cleaned.,01/25/2017,985686.0,201951.0
3176,296 GRAND AVENUE,BROOKLYN,02 BROOKLYN,Precinct 88,35.0,3019510029.0,09/07/2016,Closed,Cleaning crew dispatched. No graffiti on property.,12/13/2016,994599.0,189830.0
3177,5402 7 AVENUE,BROOKLYN,07 BROOKLYN,Precinct 72,38.0,3008250040.0,10/01/2016,Closed,Cleaning crew dispatched. No graffiti on property.,12/02/2016,981934.0,172488.0
3178,332 EAST   67 STREET,MANHATTAN,08 MANHATTAN,Precinct 19,5.0,1014410037.0,07/25/2016,Closed,Cleaning crew dispatched.  Property cleaned.,11/14/2016,995386.0,218073.0
3179,179-15 GRAND CENTRAL PARKWAY,QUEENS,08 QUEENS,Precinct 107,24.0,4072390082.0,08/10/2016,Closed,Cleaning crew dispatched.  Property cleaned.,11/08/2016,1043287.0,201599.0
3180,1360 YORK AVENUE,MANHATTAN,08 MANHATTAN,Precinct 19,5.0,1014840001.0,06/30/2016,Closed,Cleaning crew dispatched. No graffiti on property.,11/04/2016,997127.0,218776.0
3181,123 EAST   62 STREET,MANHATTAN,08 MANHATTAN,Precinct 19,4.0,1013970009.0,05/13/2016,Closed,Cleaning crew dispatched. No graffiti on property.,11/03/2016,993259.0,217768.0
3182,1484 EAST   18 STREET,BROOKLYN,14 BROOKLYN,Precinct 70,48.0,3067550036.0,07/31/2016,Closed,Cleaning crew dispatched.  Property cleaned.,10/26/2016,996348.0,163077.0
3183,9 JAY STREET,MANHATTAN,01 MANHATTAN,Precinct 1,1.0,1001800012.0,06/02/2016,Closed,Cleaning crew dispatched.  Property cleaned.,10/18/2016,981576.0,200871.0
3184,774 JEFFERSON AVENUE,BROOKLYN,03 BROOKLYN,Precinct 81,41.0,3016580013.0,08/11/2016,Closed,Cleaning crew dispatched.  Property cleaned.,10/04/2016,1004795.0,189232.0
3185,80 SOUTH    3 STREET,BROOKLYN,01 BROOKLYN,Precinct 90,34.0,3024290112.0,06/01/2016,Closed,Cleaning crew dispatched.  Property cleaned.,08/24/2016,994020.0,199140.0
3186,128 BERRY STREET,BROOKLYN,01 BROOKLYN,Precinct 94,33.0,3023260025.0,05/18/2016,Closed,Cleaning crew dispatched.  Property cleaned.,08/22/2016,995513.0,200981.0
3187,3624 AVENUE S,BROOKLYN,18 BROOKLYN,Precinct 63,46.0,3085220046.0,05/24/2016,Closed,Cleaning crew dispatched. No graffiti on property.,08/17/2016,1003380.0,161485.0
3188,68 ROGERS AVENUE,BROOKLYN,08 BROOKLYN,Precinct 77,36.0,3012320016.0,05/13/2016,Closed,Cleaning crew dispatched.  Property cleaned.,08/12/2016,997322.0,184957.0
3189,44 FURMAN AVENUE,BROOKLYN,04 BROOKLYN,Precinct 83,37.0,3034660029.0,06/06/2016,Closed,Cleaning crew dispatched.  Owner refused.,07/29/2016,1010109.0,187903.0
3190,398 LINDEN STREET,BROOKLYN,04 BROOKLYN,Precinct 83,37.0,3033380015.0,10/21/2016,Closed,10-99 - Other (Notes Required),10/21/2016,1008654.0,194652.0
3191,416 OCEAN AVENUE,BROOKLYN,14 BROOKLYN,Precinct 70,40.0,3050610040.0,11/27/2016,Closed,10-99 - Other (Notes Required),11/27/2016,994927.0,177080.0
3192,150 EAST   86 STREET,MANHATTAN,08 MANHATTAN,Precinct 19,5.0,1015147502.0,01/20/2017,Closed,Cleaning crew dispatched. No graffiti on property.,04/14/2017,996686.0,223194.0
3193,282 NASSAU AVENUE,BROOKLYN,01 BROOKLYN,Precinct 94,33.0,3026910103.0,03/21/2017,Closed,Graffiti is intentional.,03/27/2017,1001025.0,203815.0
3194,3131 WESTCHESTER AVENUE,BRONX,10 BRONX,Precinct 45,13.0,2042350055.0,01/15/2017,Closed,Cleaning crew dispatched. No graffiti on property.,03/06/2017,1031163.0,248846.0
3195,440 ROCKAWAY AVENUE,BROOKLYN,16 BROOKLYN,Precinct 73,41.0,3035217501.0,11/10/2016,Closed,Cleaning crew dispatched.  Property cleaned.,03/01/2017,1009042.0,183100.0
3196,1183 SUTTER AVENUE,BROOKLYN,05 BROOKLYN,Precinct 75,42.0,3042470002.0,10/25/2016,Closed,Cleaning crew dispatched.  Property cleaned.,12/08/2016,1019130.0,184292.0
3197,2808 FULTON STREET,BROOKLYN,05 BROOKLYN,Precinct 75,37.0,3039470022.0,08/24/2016,Closed,Cleaning crew dispatched.  Property cleaned.,12/08/2016,1014478.0,186353.0
3198,2879 WATERBURY AVENUE,BRONX,10 BRONX,Precinct 45,13.0,2053530001.0,09/19/2016,Closed,Cleaning crew dispatched.  Property cleaned.,11/17/2016,1030845.0,244379.0
3199,710 EAST  232 STREET,BRONX,12 BRONX,Precinct 47,12.0,2048450048.0,08/19/2016,Closed,Cleaning crew dispatched.  Property cleaned.,11/17/2016,1023764.0,264486.0
3200,37-08 UNION STREET,QUEENS,07 QUEENS,Precinct 109,20.0,4049780020.0,07/20/2016,Closed,Cleaning crew dispatched. No graffiti on property.,11/10/2016,1032051.0,217035.0
3201,3007 BRIGHTON    7 STREET,BROOKLYN,13 BROOKLYN,Precinct 60,48.0,3086777501.0,06/29/2016,Closed,Cleaning crew dispatched. No graffiti on property.,11/07/2016,995034.0,150386.0
3202,4124 13 AVENUE,BROOKLYN,12 BROOKLYN,Precinct 66,39.0,3055930039.0,08/08/2016,Closed,Cleaning crew dispatched.  Property cleaned.,10/25/2016,987677.0,172202.0
3203,6050 RIVERDALE AVENUE,BRONX,08 BRONX,Precinct 50,11.0,2058800703.0,06/20/2016,Closed,Cleaning crew dispatched.  Property cleaned.,10/12/2016,1010983.0,270768.0
3204,7101 20 AVENUE,BROOKLYN,11 BROOKLYN,Precinct 62,47.0,3061850010.0,04/19/2017,Open,Notice of Intent to Clean and Forever graffiti free form sent,,987172.0,162622.0
3205,1739 AMSTERDAM AVENUE,MANHATTAN,09 MANHATTAN,Precinct 30,7.0,1020610001.0,04/14/2017,Open,Notice of Intent to Clean and Forever graffiti free form sent,,998907.0,240214.0
3206,656 WEST  183 STREET,MANHATTAN,12 MANHATTAN,Precinct 34,10.0,1021640026.0,04/22/2017,Open,Notice of Intent to Clean and Forever graffiti free form sent,,1002409.0,249371.0
3207,179 TOMPKINS AVENUE,BROOKLYN,03 BROOKLYN,Precinct 79,36.0,3017720006.0,05/01/2017,Open,Site downloaded for cleaning,,999267.0,191808.0
3208,616 HALSEY STREET,BROOKLYN,03 BROOKLYN,Precinct 81,36.0,3016660041.0,04/26/2017,Open,Site downloaded for cleaning,,1003698.0,188518.0
3209,604 MONROE STREET,BROOKLYN,03 BROOKLYN,Precinct 81,36.0,3016400044.0,05/03/2017,Open,Site downloaded for cleaning,,1002781.0,189745.0
3210,387 NEW LOTS AVENUE,BROOKLYN,05 BROOKLYN,Precinct 75,42.0,3038400001.0,05/01/2017,Open,Site downloaded for cleaning,,1013873.0,180403.0
3211,460 9 AVENUE,MANHATTAN,04 MANHATTAN,Precinct 14,3.0,1007590001.0,04/13/2017,Open,Site downloaded for cleaning,,985487.0,214134.0
